数据集Dataset,B方的行缺失率MissRate,CTGAN生成K列,RMSEi,MSEi,MAEi,R2h,,纵向分类器,"vf_clf = VF_LR(learning_rate=0.2,epoch_num=5,batch_size=64)"
BANK,0.1,0,0.606411009,0.367734312,0.253157611,-1.503280015,全部预测,纵向回归器,"vf_reg = VF_LinearRegression(config={'lr': 0.01,'lambda': 0.1,'n_iters':5})"
BANK,0.1,1,0.584360017,0.341476629,0.226924599,-0.794854624,,生成模型,ctgan = CTGAN(epochs=10)
BANK,0.1,2,0.567407591,0.321951374,0.207147763,-0.641527645,,data_A,"(41188, 32)"
BANK,0.1,3,0.57189214,0.32706062,0.212263612,-0.693675356,,data_B,"(32951, 31)"
BANK,0.1,4,0.639305287,0.40871125,0.221660074,-0.758012051,,,
BANK,0.1,5,0.669708727,0.448509779,0.229904534,-0.806409433,,,
BANK,0.1,6,0.670325995,0.44933694,0.230731695,-0.864583863,,,
BANK,0.1,7,0.670835238,0.450019917,0.231414673,-0.909355596,,,
BANK,0.1,8,0.672422727,0.452152324,0.233547079,-0.933983285,,,
BANK,0.1,9,0.675204494,0.455901109,0.237295865,-0.957651686,,,
BANK,0.1,10,0.675732522,0.456614441,0.238009197,-1.011958682,,,
BANK,0.1,11,0.677778941,0.459384293,0.240779048,-1.036015627,,,
BANK,0.1,12,0.679556825,0.461797479,0.243192234,-1.055014126,,,
BANK,0.1,13,0.679925238,0.462298329,0.243693084,-1.130115181,,,
BANK,0.1,14,0.666431644,0.444131136,0.225525892,-0.982888903,,,
BANK,0.1,15,0.667506845,0.445565388,0.226960144,-1.005979954,,,
BANK,0.1,16,0.667791,0.44594482,0.227339575,-1.289017068,,,
BANK,0.1,17,0.669844688,0.448691906,0.230086661,-1.308828452,,,
BANK,0.1,18,0.672800685,0.452660762,0.234055518,-1.317771952,,,
BANK,0.1,19,0.674344162,0.454740048,0.236134804,-1.33896663,,,
BANK,0.1,20,0.677594176,0.459133868,0.240528623,-1.373243511,,,
BANK,0.1,21,0.678388867,0.460211454,0.24160621,-1.417397083,,,
BANK,0.1,22,0.682153783,0.465333783,0.246728538,-1.451129711,,,
BANK,0.1,23,0.682481877,0.465781512,0.247176268,-1.496316665,,,
BANK,0.1,24,0.683226456,0.46679839,0.248193145,-1.541142557,,,
BANK,0.1,25,0.669555737,0.448304885,0.229699641,-1.401324792,,,
BANK,0.1,26,0.67018447,0.449147224,0.230541979,-1.440679805,,,
BANK,0.1,27,0.671728309,0.451218921,0.232613677,-1.464711135,,,
BANK,0.1,28,0.672388869,0.452106792,0.233501547,-1.491603519,,,
BANK,0.1,29,0.673510898,0.45361693,0.235011686,-1.528277874,,,
BANK,0.1,30,0.675097715,0.455756925,0.237151681,-1.562386278,,,
BANK,0.1,31,0.677242422,0.458657298,0.239310773,-1.603006893,全部用CTGAN生成,,
BANK,0.2,0,0.581309332,0.337920539,0.245144664,-1.550053619,全部预测,,
BANK,0.2,1,0.557781333,0.311120015,0.218362763,-0.761915953,,,
BANK,0.2,2,0.539648571,0.29122058,0.198217488,-0.599282316,,,
BANK,0.2,3,0.542343263,0.294136215,0.201136929,-0.632660112,,,
BANK,0.2,4,0.597296594,0.356763222,0.207240749,-0.690915261,,,
BANK,0.2,5,0.639466857,0.408917861,0.22133429,-0.745297682,,,
BANK,0.2,6,0.640391712,0.410101545,0.222517974,-0.830315401,,,
BANK,0.2,7,0.641270863,0.41122832,0.223644749,-0.90440067,,,
BANK,0.2,8,0.643470857,0.414054744,0.226471173,-0.934182559,,,
BANK,0.2,9,0.64517253,0.416247593,0.228664022,-0.9394965,,,
BANK,0.2,10,0.645686857,0.416911518,0.229327947,-0.988114199,,,
BANK,0.2,11,0.647596571,0.419381319,0.231797748,-1.009894168,,,
BANK,0.2,12,0.649640843,0.422033225,0.234449654,-1.031972895,,,
BANK,0.2,13,0.650058264,0.422575746,0.234992175,-1.118169487,,,
BANK,0.2,14,0.635085273,0.403333304,0.215749733,-0.971359439,,,
BANK,0.2,15,0.636752754,0.40545407,0.217870499,-1.027101712,,,
BANK,0.2,16,0.636949342,0.405704464,0.218120893,-1.209630017,,,
BANK,0.2,17,0.639701161,0.409217576,0.221634005,-1.227881742,,,
BANK,0.2,18,0.642015866,0.412184372,0.224600801,-1.239827459,,,
BANK,0.2,19,0.643482649,0.414069919,0.226486348,-1.261326294,,,
BANK,0.2,20,0.645915969,0.417207439,0.229623868,-1.283996014,,,
BANK,0.2,21,0.646646819,0.418152109,0.230568538,-1.325150989,,,
BANK,0.2,22,0.649226075,0.421494497,0.233910926,-1.353281386,,,
BANK,0.2,23,0.649626243,0.422014255,0.234430685,-1.408267779,,,
BANK,0.2,24,0.650282918,0.422867873,0.235284302,-1.444664333,,,
BANK,0.2,25,0.636061235,0.404573895,0.216990324,-1.306946809,,,
BANK,0.2,26,0.636812333,0.405529947,0.217946376,-1.357969313,,,
BANK,0.2,27,0.638261353,0.407377555,0.219793984,-1.378730572,,,
BANK,0.2,28,0.639098915,0.408447423,0.220863852,-1.411826416,,,
BANK,0.2,29,0.640270253,0.409945996,0.222362425,-1.448797618,,,
BANK,0.2,30,0.641720333,0.411804986,0.224221415,-1.47608081,,,
BANK,0.2,31,0.642323075,0.412578933,0.224995362,-1.507972071,,,
