Method,Label Spreading,Label Spreading,Label Spreading,Label Spreading,Label Propagation,Label Propagation,Label Propagation,Label Propagation,Self-training,Self-training,Self-training,Self-training
Metric,Accuracy,Recall,AUC,F1,Accuracy,Recall,AUC,F1,Accuracy,Recall,AUC,F1
bank,0.941719281,0.589010989,0.958416658,0.690721649,0.917678485,0.549450549,0.935011835,0.595947557,0.999028655,0.995604396,0.9999862,0.995604396
bank,0.940755129,0.611713666,0.95047921,0.698019802,0.91987374,0.544468547,0.932946076,0.603365385,0.996843511,0.996746204,0.999902735,0.986051502
bank,0.940110068,0.613159798,0.948955067,0.696223317,0.91356426,0.519884309,0.920537553,0.573822825,0.996681774,0.98626175,0.999688448,0.985193211
bank,0.937298938,0.598412698,0.945325015,0.686494689,0.913323217,0.536507937,0.918037666,0.586805556,0.994415781,0.984126984,0.999382601,0.975865687
bank,0.933330096,0.574361123,0.933179436,0.666342649,0.907740118,0.493925429,0.910285441,0.553781118,0.996795183,0.994134897,0.999857179,0.986284289
bank,0.931976368,0.582094962,0.935049609,0.656447987,0.903488184,0.508880029,0.893478641,0.540727903,0.991744901,0.984777093,0.998177009,0.963816956
bank,0.927543269,0.551166407,0.930662158,0.629149654,0.906628282,0.527838258,0.905195079,0.557673349,0.99233464,0.985381026,0.999299214,0.966295562
bank,0.917723824,0.503863576,0.914033099,0.582473433,0.900698027,0.420730083,0.879028663,0.491135303,0.988710167,0.946975753,0.997177169,0.95026738
bank,0.907793574,0.479402554,0.898931467,0.537983239,0.894655912,0.491447844,0.882236445,0.510958046,0.982384202,0.976391231,0.994114973,0.925448111
census,0.722051597,0.133171913,0.574589723,0.195555556,0.704545455,0.140435835,0.51376608,0.194304858,0.746314496,0,0.518925557,0
census,0.726658477,0.138942001,0.571723447,0.196750903,0.712070025,0.108349267,0.504436362,0.153498871,0.759060197,0,0.486080902,0
census,0.714271089,0.16758826,0.559307262,0.220173233,0.717854218,0.1161208,0.511094336,0.165354331,0.759316134,0,0.512930593,0
census,0.707386364,0.166242848,0.554436889,0.215359275,0.720592752,0.098219962,0.506565429,0.145172657,0.758445946,0,0.502355823,0
census,0.696990172,0.202831403,0.540054408,0.242126287,0.7252457,0.082368082,0.503258081,0.125171132,0.761363636,0,0.498585731,0
census,0.683968059,0.204975548,0.526683718,0.237965934,0.730855856,0.07208165,0.506725139,0.114218329,0.759264947,0,0.501020555,0
census,0.67023517,0.205742502,0.517468652,0.230391153,0.733634609,0.05102414,0.500117131,0.084175592,0.76009126,0,0.506885077,0
census,0.661279177,0.216687817,0.511240058,0.236434444,0.742398649,0.042829949,0.504515765,0.074482759,0.757985258,0,0.497895991,0
census,0.647113022,0.231184323,0.506396102,0.239464588,0.749351624,0.01917069,0.499581729,0.035456336,0.75969151,0,0.505769297,0
credit,0.916,0.710042433,0.956562035,0.799363057,0.854666667,0.630834512,0.869300269,0.671686747,0.992333333,0.967468175,0.999016748,0.983465133
credit,0.919833333,0.714064915,0.960306764,0.793473594,0.861666667,0.606646059,0.861993979,0.654166667,0.993333333,0.969860896,0.999336898,0.984313725
credit,0.917888889,0.703963874,0.950082174,0.791537377,0.856666667,0.599096839,0.851216198,0.649265905,0.992666667,0.967887607,0.999192407,0.983180428
credit,0.911583333,0.691400304,0.940428304,0.774014909,0.852666667,0.571156773,0.844102482,0.629350105,0.992083333,0.964231355,0.999410344,0.981599845
credit,0.9112,0.699399399,0.941015939,0.777629382,0.843933333,0.54984985,0.827951306,0.610028319,0.991533333,0.961861862,0.999153138,0.980560233
credit,0.902388889,0.672754947,0.923921023,0.75116839,0.839722222,0.547691527,0.827129294,0.599472442,0.991055556,0.960679858,0.99885372,0.97918552
credit,0.891142857,0.648942985,0.912323199,0.726685796,0.820428571,0.489002776,0.798969229,0.548437313,0.992952381,0.968823404,0.999104073,0.983951421
credit,0.880833333,0.617309501,0.881118041,0.696455105,0.813958333,0.467168391,0.761348001,0.52656134,0.988833333,0.94957667,0.990062468,0.974136267
credit,0.856444444,0.560308673,0.837767187,0.63281546,0.783925926,0.450092266,0.72825877,0.479107143,0.990296296,0.960577084,0.998539758,0.977633601
