age,job,marital,education,default,balance,housing,loan,index
58,management,married,tertiary,no,2143,yes,no,0
44,technician,single,secondary,no,29,yes,no,1
33,entrepreneur,married,secondary,no,2,yes,yes,2
47,blue-collar,married,unknown,no,1506,yes,no,3
33,unknown,single,unknown,no,1,no,no,4
35,management,married,tertiary,no,231,yes,no,5
28,management,single,tertiary,no,447,yes,yes,6
42,entrepreneur,divorced,tertiary,yes,2,yes,no,7
58,retired,married,primary,no,121,yes,no,8
43,technician,single,secondary,no,593,yes,no,9
41,admin.,divorced,secondary,no,270,yes,no,10
29,admin.,single,secondary,no,390,yes,no,11
53,technician,married,secondary,no,6,yes,no,12
58,technician,married,unknown,no,71,yes,no,13
57,services,married,secondary,no,162,yes,no,14
51,retired,married,primary,no,229,yes,no,15
45,admin.,single,unknown,no,13,yes,no,16
57,blue-collar,married,primary,no,52,yes,no,17
60,retired,married,primary,no,60,yes,no,18
33,services,married,secondary,no,0,yes,no,19
28,blue-collar,married,secondary,no,723,yes,yes,20
56,management,married,tertiary,no,779,yes,no,21
32,blue-collar,single,primary,no,23,yes,yes,22
25,services,married,secondary,no,50,yes,no,23
40,retired,married,primary,no,0,yes,yes,24
44,admin.,married,secondary,no,-372,yes,no,25
39,management,single,tertiary,no,255,yes,no,26
52,entrepreneur,married,secondary,no,113,yes,yes,27
46,management,single,secondary,no,-246,yes,no,28
36,technician,single,secondary,no,265,yes,yes,29
57,technician,married,secondary,no,839,no,yes,30
49,management,married,tertiary,no,378,yes,no,31
60,admin.,married,secondary,no,39,yes,yes,32
59,blue-collar,married,secondary,no,0,yes,no,33
51,management,married,tertiary,no,10635,yes,no,34
57,technician,divorced,secondary,no,63,yes,no,35
25,blue-collar,married,secondary,no,-7,yes,no,36
53,technician,married,secondary,no,-3,no,no,37
36,admin.,divorced,secondary,no,506,yes,no,38
37,admin.,single,secondary,no,0,yes,no,39
44,services,divorced,secondary,no,2586,yes,no,40
50,management,married,secondary,no,49,yes,no,41
60,blue-collar,married,unknown,no,104,yes,no,42
54,retired,married,secondary,no,529,yes,no,43
58,retired,married,unknown,no,96,yes,no,44
36,admin.,single,primary,no,-171,yes,no,45
58,self-employed,married,tertiary,no,-364,yes,no,46
44,technician,married,secondary,no,0,yes,no,47
55,technician,divorced,secondary,no,0,no,no,48
29,management,single,tertiary,no,0,yes,no,49
54,blue-collar,married,secondary,no,1291,yes,no,50
48,management,divorced,tertiary,no,-244,yes,no,51
32,management,married,tertiary,no,0,yes,no,52
42,admin.,single,secondary,no,-76,yes,no,53
24,technician,single,secondary,no,-103,yes,yes,54
38,entrepreneur,single,tertiary,no,243,no,yes,55
38,management,single,tertiary,no,424,yes,no,56
47,blue-collar,married,unknown,no,306,yes,no,57
40,blue-collar,single,unknown,no,24,yes,no,58
46,services,married,primary,no,179,yes,no,59
32,admin.,married,tertiary,no,0,yes,no,60
53,technician,divorced,secondary,no,989,yes,no,61
57,blue-collar,married,primary,no,249,yes,no,62
33,services,married,secondary,no,790,yes,no,63
49,blue-collar,married,unknown,no,154,yes,no,64
51,management,married,tertiary,no,6530,yes,no,65
60,retired,married,tertiary,no,100,no,no,66
59,management,divorced,tertiary,no,59,yes,no,67
55,technician,married,secondary,no,1205,yes,no,68
